dm,mcl,beta_artificial,erases_headline
0.06,0.135,-0.2069011757683453,True
0.06,0.14,-0.2126982934526712,True
0.06,0.145,-0.2185292137634643,True
0.06,0.15,-0.2243943332158624,True
0.06,0.155,-0.2302940553430508,True
0.06,0.16,-0.2362287908628652,True
0.06,0.165,-0.2421989578493691,True
0.06,0.17,-0.248204981909581,True
0.06,0.175,-0.2542472963655436,True
0.06,0.18,-0.2603263424419256,True
0.06,0.185,-0.2664425694593619,True
0.06,0.19,-0.2725964350337401,True
0.06,0.195,-0.2787884052816612,True
0.06,0.2,-0.2850189550322972,True
0.065,0.0,-0.0672087496934499,False
0.065,0.005,-0.0722212915169942,False
0.065,0.01,-0.0772590855469514,False
0.065,0.015,-0.0823223875034982,False
0.065,0.02,-0.0874114570109695,False
0.065,0.025,-0.0925265576777399,False
0.065,0.03,-0.0976679571781585,False
0.065,0.035,-0.1028359273366011,False
0.065,0.04,-0.1080307442137051,False
0.065,0.045,-0.1132526881948569,False
0.065,0.05,-0.1185020440810006,False
0.065,0.055,-0.1237791011818443,False
0.065,0.06,-0.1290841534115375,False
0.065,0.065,-0.1344174993868999,False
0.065,0.07,-0.1397794425282854,False
0.065,0.075,-0.1451702911631618,False
0.065,0.08,-0.150590358632501,False
0.065,0.085,-0.1560399634000656,False
0.065,0.09,-0.1615194291646912,False
0.065,0.095,-0.1670290849756608,False
0.065,0.1,-0.1725692653512763,False
0.065,0.105,-0.1781403104007317,True
0.065,0.11,-0.1837425659494015,True
0.065,0.115,-0.1893763836676575,True
0.065,0.12,-0.1950421212033348,True
0.065,0.125,-0.2007401423179727,True
0.065,0.13,-0.2064708170269577,True
0.065,0.135,-0.2122345217437077,True
0.065,0.14,-0.2180316394280336,True
0.065,0.145,-0.2238625597388268,True
0.065,0.15,-0.2297276791912249,True
0.065,0.155,-0.2356274013184132,True
0.065,0.16,-0.2415621368382278,True
0.065,0.165,-0.2475323038247316,True
0.065,0.17,-0.2535383278849434,True
0.065,0.175,-0.259580642340906,True
0.065,0.18,-0.2656596884172882,True
0.065,0.185,-0.2717759154347244,True
0.065,0.19,-0.2779297810091025,True
0.065,0.195,-0.2841217512570237,True
0.065,0.2,-0.2903523010076597,True
0.07,0.0,-0.0725706928348355,False
0.07,0.005,-0.0775832346583798,False
0.07,0.01,-0.0826210286883369,False
0.07,0.015,-0.0876843306448836,False
0.07,0.02,-0.092773400152355,False
0.07,0.025,-0.0978885008191253,False
0.07,0.03,-0.103029900319544,False
0.07,0.035,-0.1081978704779867,False
0.07,0.04,-0.1133926873550906,False
0.07,0.045,-0.1186146313362423,False
0.07,0.05,-0.123863987222386,False
0.07,0.055,-0.1291410443232298,False
0.07,0.06,-0.134446096552923,False
0.07,0.065,-0.1397794425282854,False
0.07,0.07,-0.145141385669671,False
0.07,0.075,-0.1505322343045473,False
0.07,0.08,-0.1559523017738864,False
0.07,0.085,-0.1614019065414511,False
0.07,0.09,-0.1668813723060768,False
0.07,0.095,-0.1723910281170463,False
0.07,0.1,-0.1779312084926617,True
0.07,0.105,-0.1835022535421172,True
0.07,0.11,-0.1891045090907869,True
0.07,0.115,-0.194738326809043,True
0.07,0.12,-0.2004040643447204,True
0.07,0.125,-0.2061020854593581,True
0.07,0.13,-0.2118327601683431,True
0.07,0.135,-0.2175964648850933,True
0.07,0.14,-0.2233935825694191,True
0.07,0.145,-0.2292245028802123,True
0.07,0.15,-0.2350896223326103,True
0.07,0.155,-0.2409893444597987,True
0.07,0.16,-0.2469240799796133,True
0.07,0.165,-0.252894246966117,True
0.07,0.17,-0.2589002710263289,True
0.07,0.175,-0.2649425854822916,True
0.07,0.18,-0.2710216315586736,True
0.07,0.185,-0.2771378585761099,True
0.07,0.19,-0.2832917241504881,True
0.07,0.195,-0.2894836943984092,True
0.07,0.2,-0.2957142441490452,True
0.075,0.0,-0.0779615414697118,False
0.075,0.005,-0.082974083293256,False
0.075,0.01,-0.0880118773232132,False
0.075,0.015,-0.0930751792797599,False
0.075,0.02,-0.0981642487872313,False
0.075,0.025,-0.1032793494540017,False
0.075,0.03,-0.1084207489544204,False
0.075,0.035,-0.1135887191128629,False
0.075,0.04,-0.1187835359899669,False
0.075,0.045,-0.1240054799711186,False
0.075,0.05,-0.1292548358572623,False
0.075,0.055,-0.1345318929581061,False
0.075,0.06,-0.1398369451877994,False
0.075,0.065,-0.1451702911631618,False
0.075,0.07,-0.1505322343045473,False
0.075,0.075,-0.1559230829394236,False
0.075,0.08,-0.1613431504087628,False
0.075,0.085,-0.1667927551763274,False
0.075,0.09,-0.172272220940953,False
0.075,0.095,-0.1777818767519226,True
0.075,0.1,-0.1833220571275381,True
0.075,0.105,-0.1888931021769935,True
0.075,0.11,-0.1944953577256633,True
0.075,0.115,-0.2001291754439193,True
0.075,0.12,-0.2057949129795966,True
0.075,0.125,-0.2114929340942344,True
0.075,0.13,-0.2172236088032194,True
0.075,0.135,-0.2229873135199696,True
0.075,0.14,-0.2287844312042955,True
0.075,0.145,-0.2346153515150887,True
0.075,0.15,-0.2404804709674867,True
0.075,0.155,-0.246380193094675,True
0.075,0.16,-0.2523149286144895,True
0.075,0.165,-0.2582850956009934,True
0.075,0.17,-0.2642911196612052,True
0.075,0.175,-0.270333434117168,True
0.075,0.18,-0.27641248019355,True
0.075,0.185,-0.2825287072109863,True
0.075,0.19,-0.2886825727853643,True
0.075,0.195,-0.2948745430332856,True
0.075,0.2,-0.3011050927839215,True
0.08,0.0,-0.083381608939051,False
0.08,0.005,-0.0883941507625953,False
0.08,0.01,-0.0934319447925524,False
0.08,0.015,-0.0984952467490992,False
0.08,0.02,-0.1035843162565704,False
0.08,0.025,-0.1086994169233409,False
0.08,0.03,-0.1138408164237596,False
0.08,0.035,-0.1190087865822021,False
0.08,0.04,-0.1242036034593062,False
0.08,0.045,-0.1294255474404578,False
0.08,0.05,-0.1346749033266016,False
0.08,0.055,-0.1399519604274454,False
0.08,0.06,-0.1452570126571385,False
0.08,0.065,-0.150590358632501,False
0.08,0.07,-0.1559523017738864,False
0.08,0.075,-0.1613431504087628,False
0.08,0.08,-0.166763217878102,False
0.08,0.085,-0.1722128226456666,False
0.08,0.09,-0.1776922884102923,True
0.08,0.095,-0.183201944221262,True
0.08,0.1,-0.1887421245968772,True
0.08,0.105,-0.1943131696463327,True
0.08,0.11,-0.1999154251950025,True
0.08,0.115,-0.2055492429132585,True
0.08,0.12,-0.2112149804489359,True
0.08,0.125,-0.2169130015635736,True
0.08,0.13,-0.2226436762725587,True
0.08,0.135,-0.2284073809893087,True
0.08,0.14,-0.2342044986736347,True
0.08,0.145,-0.2400354189844279,True
0.08,0.15,-0.2459005384368259,True
0.08,0.155,-0.2518002605640143,True
0.08,0.16,-0.2577349960838287,True
0.08,0.165,-0.2637051630703326,True
0.08,0.17,-0.2697111871305446,True
0.08,0.175,-0.2757535015865071,True
0.08,0.18,-0.2818325476628892,True
0.08,0.185,-0.2879487746803253,True
0.08,0.19,-0.2941026402547035,True
0.08,0.195,-0.3002946105026248,True
0.08,0.2,-0.3065251602532606,True
