year_month,age_group,exposure_quartile,n_emp,share_of_coded
2021-02,50+,3,386915,0.213599859997869
2021-02,50+,4,509726,0.2813987626152354
2021-03,22-25,1,80151,0.2772508405628658
2021-03,22-25,2,139851,0.4837594952471877
2021-03,22-25,3,30007,0.1037974070538098
2021-03,22-25,4,39083,0.1351922571361365
2021-03,26-30,1,121512,0.2257500571286314
2021-03,26-30,2,195792,0.3637505364517825
2021-03,26-30,3,83279,0.1547191965206341
2021-03,26-30,4,137676,0.255780209898952
2021-03,31-34,1,96358,0.2056936219991717
2021-03,31-34,2,150304,0.3208511401332895
2021-03,31-34,3,84139,0.1796099510304106
2021-03,31-34,4,137653,0.2938452868371281
2021-03,35-40,1,124454,0.1927009785705438
2021-03,35-40,2,192181,0.2975675089805524
2021-03,35-40,3,128211,0.1985182088442958
2021-03,35-40,4,200994,0.3112133036046079
2021-03,41-49,1,183605,0.1837284655288353
2021-03,41-49,2,275870,0.2760555093022511
2021-03,41-49,3,216579,0.2167246389573793
2021-03,41-49,4,323274,0.3234913862115341
2021-03,50+,1,388235,0.2132169404864225
2021-03,50+,2,529272,0.2906738354994522
2021-03,50+,3,389517,0.2139210092017717
2021-03,50+,4,513821,0.2821882148123536
2021-04,22-25,1,82611,0.2792582050753322
2021-04,22-25,2,142605,0.4820619086413159
2021-04,22-25,3,30466,0.1029872592732816
2021-04,22-25,4,40141,0.1356926270100702
2021-04,26-30,1,124316,0.2283646383467279
2021-04,26-30,2,197557,0.3629060849598163
2021-04,26-30,3,83541,0.1534622273249138
2021-04,26-30,4,138961,0.2552670493685419
2021-04,31-34,1,98218,0.2077188737863256
2021-04,31-34,2,151365,0.3201181792611047
2021-04,31-34,3,84260,0.1781994370200553
2021-04,31-34,4,138998,0.2939635099325143
2021-04,35-40,1,126737,0.1947098027045546
2021-04,35-40,2,193271,0.2969279553604075
2021-04,35-40,3,128486,0.1973968431499672
2021-04,35-40,4,202408,0.3109653987850705
2021-04,41-49,1,186281,0.1852395830640141
2021-04,41-49,2,276620,0.275073536577362
2021-04,41-49,3,217278,0.2160632921714123
2021-04,41-49,4,325443,0.3236235881872115
2021-04,50+,1,393422,0.2150802514997099
2021-04,50+,2,529505,0.2894755976288919
2021-04,50+,3,390296,0.2133712955537077
2021-04,50+,4,515964,0.2820728553176903
2021-05,22-25,1,85266,0.2801678391530497
2021-05,22-25,2,146652,0.4818705456743959
2021-05,22-25,3,31094,0.1021689628999241
2021-05,22-25,4,41327,0.1357926522726301
2021-05,26-30,1,126224,0.2286173813978508
2021-05,26-30,2,201246,0.3644975086892499
2021-05,26-30,3,84214,0.1525287121073536
2021-05,26-30,4,140435,0.2543563978055455
2021-05,31-34,1,99350,0.2078721507810636
2021-05,31-34,2,153623,0.3214287208801141
2021-05,31-34,3,85018,0.1778849976356765
2021-05,31-34,4,139947,0.2928141307031456
2021-05,35-40,1,127996,0.1946967807098136
2021-05,35-40,2,196088,0.2982726205180313
2021-05,35-40,3,129376,0.1967959209749746
2021-05,35-40,4,203952,0.3102346777971804
2021-05,41-49,1,187761,0.1849215299082587
2021-05,41-49,2,280578,0.2763348779490917
2021-05,41-49,3,218710,0.215402494693974
2021-05,41-49,4,328306,0.3233410974486755
2021-05,50+,1,394858,0.2142426565659689
2021-05,50+,2,535922,0.290781377082767
2021-05,50+,3,392557,0.2129941764724713
2021-05,50+,4,519704,0.2819817898787927
2021-06,22-25,1,92120,0.2796294272635656
2021-06,22-25,2,157546,0.4782294588326716
2021-06,22-25,3,34293,0.1040960915018395
2021-06,22-25,4,45477,0.1380450224019233
2021-06,26-30,1,131652,0.2294488257592261
2021-06,26-30,2,208812,0.3639266262907934
2021-06,26-30,3,88252,0.1538094200688423
2021-06,26-30,4,145059,0.2528151278811381
2021-06,31-34,1,101958,0.2084519136408243
2021-06,31-34,2,157199,0.3213914785737651
2021-06,31-34,3,87399,0.178686211972522
2021-06,31-34,4,142564,0.2914703958128884
2021-06,35-40,1,130533,0.1955673615418498
2021-06,35-40,2,199308,0.2986075528347851
2021-06,35-40,3,131557,0.1971015404714604
2021-06,35-40,4,206060,0.3087235451519047
2021-06,41-49,1,190550,0.1860165896926016
2021-06,41-49,2,283243,0.2765043133786489
2021-06,41-49,3,221005,0.2157470291525238
2021-06,41-49,4,329573,0.3217320677762256
2021-06,50+,1,398979,0.2147979339550418
2021-06,50+,2,538498,0.289910641509759
2021-06,50+,3,396948,0.213704506471734
2021-06,50+,4,523037,0.2815869180634651
2021-07,22-25,1,97115,0.2800147626585472
2021-07,22-25,2,167082,0.4817528350359407
2021-07,22-25,3,35851,0.1033703264796537
2021-07,22-25,4,46773,0.1348620758258583
2021-07,26-30,1,132373,0.2313663184976998
2021-07,26-30,2,210334,0.3676293748339556
2021-07,26-30,3,86577,0.1513224128528881
2021-07,26-30,4,142852,0.2496818938154564
2021-07,31-34,1,101415,0.2106908766061764
2021-07,31-34,2,156064,0.3242248283455733
2021-07,31-34,3,84704,0.1759735740477204
2021-07,31-34,4,139162,0.2891107210005297
2021-07,35-40,1,129915,0.1977003063316142
2021-07,35-40,2,197573,0.3006599901693878
2021-07,35-40,3,128328,0.195285262755828
2021-07,35-40,4,201315,0.3063544407431699
2021-07,41-49,1,189251,0.1874971516435264
2021-07,41-49,2,280760,0.2781581090479653
2021-07,41-49,3,216410,0.2144044606748474
2021-07,41-49,4,322933,0.3199402786336607
2021-07,50+,1,392288,0.2156955031912694
2021-07,50+,2,530079,0.2914584607128561
2021-07,50+,3,386612,0.2125746132427784
2021-07,50+,4,509733,0.280271422853096
2021-08,22-25,1,97465,0.2819727241692559
2021-08,22-25,2,165532,0.4788950800511494
2021-08,22-25,3,35372,0.1023335474202526
2021-08,22-25,4,47285,0.136798648359342
2021-08,26-30,1,132309,0.2306449251108693
2021-08,26-30,2,209486,0.3651821325969933
2021-08,26-30,3,87188,0.151988675982484
2021-08,26-30,4,144665,0.2521842663096533
2021-08,31-34,1,101160,0.2098881467972139
2021-08,31-34,2,155330,0.3222808011270388
2021-08,31-34,3,85468,0.1773301713173614
2021-08,31-34,4,140013,0.2905008807583858
2021-08,35-40,1,129391,0.1971365974355224
2021-08,35-40,2,196387,0.299209875188923
2021-08,35-40,3,128605,0.1959390692798986
2021-08,35-40,4,201969,0.307714458095656
2021-08,41-49,1,188488,0.1873370014630112
2021-08,41-49,2,278903,0.2771998839132371
2021-08,41-49,3,216224,0.214903632084473
2021-08,41-49,4,322529,0.3205594825392787
2021-08,50+,1,386592,0.2156892938679592
2021-08,50+,2,522436,0.2914800407954669
2021-08,50+,3,381192,0.2126764995346906
2021-08,50+,4,502136,0.2801541658018831
2021-09,22-25,1,98028,0.2785725246807277
2021-09,22-25,2,168197,0.4779763224152727
