year_month,age_group,exposure_quartile,n_emp,share_of_coded
2020-12,50+,1,388777,0.21464023549988517
2020-12,50+,2,527063,0.2909866747345547
2020-12,50+,3,389973,0.21530053619066128
2020-12,50+,4,505483,0.27907255357489885
2021-01,22-25,1,80959,0.2761588342241976
2021-01,22-25,2,142479,0.48600939415542993
2021-01,22-25,3,30049,0.10249999147226269
2021-01,22-25,4,39674,0.13533178014810973
2021-01,26-30,1,121894,0.22607418343141492
2021-01,26-30,2,197100,0.3655571361538048
2021-01,26-30,3,83037,0.15400694020701922
2021-01,26-30,4,137146,0.2543617402077611
2021-01,31-34,1,96602,0.20597441364605543
2021-01,31-34,2,150956,0.3218678038379531
2021-01,31-34,3,84022,0.17915138592750532
2021-01,31-34,4,137420,0.29300639658848615
2021-01,35-40,1,124513,0.19332095380344494
2021-01,35-40,2,191696,0.29763039650723366
2021-01,35-40,3,127843,0.19849116716402151
2021-01,35-40,4,200022,0.3105574825252999
2021-01,41-49,1,183215,0.1839461860897066
2021-01,41-49,2,274728,0.27582440199794184
2021-01,41-49,3,215802,0.2166632363645491
2021-01,41-49,4,322280,0.32356617554780254
2021-01,50+,1,390589,0.2147919137860588
2021-01,50+,2,528130,0.2904281826365598
2021-01,50+,3,388290,0.2135276523506519
2021-01,50+,4,511444,0.28125225122672953
2021-02,22-25,1,79168,0.2760997011198415
2021-02,22-25,2,139540,0.4866480433289042
2021-02,22-25,3,29460,0.10274223417277854
2021-02,22-25,4,38569,0.13451002137847576
