year_month,age_group,n_emp,source
2024-03,41-49,1055134,headline
2024-03,50+,2066069,headline
2024-04,22-25,347034,headline
2024-04,26-30,529991,headline
2024-04,31-34,533603,headline
2024-04,35-40,761257,headline
2024-04,41-49,1057354,headline
2024-04,50+,2070400,headline
2024-05,22-25,355003,headline
2024-05,26-30,536485,headline
2024-05,31-34,539323,headline
2024-05,35-40,768847,headline
2024-05,41-49,1067942,headline
2024-05,50+,2092928,headline
2024-06,22-25,384370,headline
2024-06,26-30,554857,headline
2024-06,31-34,549941,headline
2024-06,35-40,779647,headline
2024-06,41-49,1077430,headline
2024-06,50+,2110623,headline
2024-07,22-25,400771,headline
2024-07,26-30,549379,headline
2024-07,31-34,538464,headline
2024-07,35-40,762093,headline
2024-07,41-49,1054838,headline
2024-07,50+,2056529,headline
2024-08,22-25,391404,headline
2024-08,26-30,542381,headline
2024-08,31-34,532159,headline
2024-08,35-40,752094,headline
2024-08,41-49,1040779,headline
2024-08,50+,2008435,headline
2024-09,22-25,396444,headline
2024-09,26-30,551470,headline
2024-09,31-34,541029,headline
2024-09,35-40,765782,headline
2024-09,41-49,1057737,headline
2024-09,50+,2042049,headline
2024-10,22-25,355346,headline
2024-10,26-30,534922,headline
2024-10,31-34,534776,headline
2024-10,35-40,761720,headline
2024-10,41-49,1057352,headline
2024-10,50+,2050338,headline
2024-11,22-25,351030,headline
2024-11,26-30,530563,headline
2024-11,31-34,531397,headline
2024-11,35-40,758324,headline
2024-11,41-49,1054301,headline
2024-11,50+,2046016,headline
2024-12,22-25,354464,headline
2024-12,26-30,533070,headline
2024-12,31-34,535779,headline
2024-12,35-40,765089,headline
2024-12,41-49,1066168,headline
2024-12,50+,2084159,headline
2025-01,22-25,345462,rebuilt
2025-01,26-30,513801,rebuilt
2025-01,31-34,516304,rebuilt
2025-01,35-40,780269,rebuilt
2025-01,41-49,1050950,rebuilt
2025-01,50+,2081416,rebuilt
2025-02,22-25,336765,rebuilt
2025-02,26-30,507584,rebuilt
2025-02,31-34,512200,rebuilt
2025-02,35-40,775999,rebuilt
2025-02,41-49,1045313,rebuilt
2025-02,50+,2067872,rebuilt
2025-03,22-25,337613,rebuilt
2025-03,26-30,508730,rebuilt
2025-03,31-34,513098,rebuilt
2025-03,35-40,777456,rebuilt
2025-03,41-49,1049727,rebuilt
2025-03,50+,2079385,rebuilt
2025-04,22-25,343255,rebuilt
2025-04,26-30,511001,rebuilt
2025-04,31-34,514084,rebuilt
2025-04,35-40,778860,rebuilt
2025-04,41-49,1051241,rebuilt
2025-04,50+,2081733,rebuilt
2025-05,22-25,351811,rebuilt
2025-05,26-30,516400,rebuilt
2025-05,31-34,517676,rebuilt
2025-05,35-40,783197,rebuilt
2025-05,41-49,1056024,rebuilt
2025-05,50+,2088416,rebuilt
2025-06,22-25,380674,rebuilt
2025-06,26-30,535149,rebuilt
2025-06,31-34,529639,rebuilt
2025-06,35-40,797309,rebuilt
2025-06,41-49,1070857,rebuilt
2025-06,50+,2156235,rebuilt
2025-01,22-25,345596,headline
2025-01,26-30,514027,headline
2025-01,31-34,516533,headline
2025-01,35-40,780635,headline
2025-01,41-49,1051406,headline
2025-01,50+,2082122,headline
2025-02,22-25,336974,headline
2025-02,26-30,507929,headline
2025-02,31-34,512544,headline
2025-02,35-40,776561,headline
2025-02,41-49,1046017,headline
2025-02,50+,2068882,headline
2025-03,22-25,337914,headline
